Outplant #,Site,Habitat,Mean Temp.,Mean [DO]
1,FB,B,14.9,12.2
1,FB,E,15,17
1,PG,B,15.2,12.1
1,PG,E,15.3,12.9
1,CI,B,16.3,8.5
1,CI,E,16.4,10.7
1,SK,B,15.4,10.6
1,SK,E,15.1,10.4
1,WB,B,17.9,10.1
1,WB,E,18,9.8
2,FB,B,16.4,9.4
2,FB,E,16.5,11.8
2,PG,B,15.5,10.7
2,PG,E,15.4,9.5
2,CI,B,17.2,8.9
2,CI,E,17.3,8.6
2,SK,B,17.3,9.9
2,SK,E,16.8,8.2
2,WB,B,19,9
2,WB,E,NA,NA
