term,df,sumsq,meansq,statistic,p.value,var
Groups,1,32572.8665468773,32572.8665468773,1.85068171758052,0.187480919332782,ploidy
Residuals,22,387210.322133699,17600.4691878954,NA,NA,ploidy
Groups,1,40432.800456963,40432.800456963,2.47426263320714,0.129995929988686,pH
Residuals,22,359509.778030389,16341.3535468359,NA,NA,pH
