Sample,UniqueReads2,DuplicateReads2,TotalReads2,percUnique2,percDuplicate2,UniqueReads3,DuplicateReads3,TotalReads3,percUnique3,percDuplicate3,diffTotal,percDiff,diffpercUnique,diffpercDuplicate
zr3644_24_R1_val_1_val_1,43615112,9279778,52894890,0.824561919,0.175438081,43192794,9051251,52244045,0.82675057,0.17324943,650845,0.012304497,-0.002188651,0.002188651
zr3644_24_R2_val_2_val_2,43118476,9776414,52894890,0.815172808,0.184827192,43145440,9098605,52244045,0.82584417,0.17415583,650845,0.012304497,-0.010671362,0.010671362
zr3644_2_R1_val_1_val_1,44677901,10958486,55636387,0.803033831,0.196966169,44686361,10339553,55025914,0.81209666,0.18790334,610473,0.010972549,-0.009062829,0.009062829
zr3644_2_R2_val_2_val_2,44861552,10774835,55636387,0.806334746,0.193665254,44885360,10140554,55025914,0.81571312,0.18428688,610473,0.010972549,-0.009378374,0.009378374
zr3644_3_R1_val_1_val_1,33104591,6320351,39424942,0.839686486,0.160313514,33073225,5840384,38913609,0.849914101,0.150085899,511333,0.012969784,-0.010227615,0.010227615
zr3644_3_R2_val_2_val_2,33163272,6261670,39424942,0.841174909,0.158825091,33177981,5735628,38913609,0.852606115,0.147393885,511333,0.012969784,-0.011431206,0.011431206
zr3644_4_R1_val_1_val_1,41447225,8540430,49987655,0.829149217,0.170850783,41437617,7868631,49306248,0.840413105,0.159586895,681407,0.013631506,-0.011263888,0.011263888
zr3644_4_R2_val_2_val_2,41088043,8899612,49987655,0.821963803,0.178036197,41119971,8186277,49306248,0.833970798,0.166029202,681407,0.013631506,-0.012006995,0.012006995
zr3644_5_R1_val_1_val_1,37551900,7119616,44671516,0.840622915,0.159377085,37540857,6542799,44083656,0.851582205,0.148417795,587860,0.013159616,-0.01095929,0.01095929
zr3644_5_R2_val_2_val_2,37052219,7619297,44671516,0.829437241,0.170562759,37071778,7011878,44083656,0.84094155,0.15905845,587860,0.013159616,-0.011504309,0.011504309
zr3644_6_R1_val_1_val_1,44647971,9356168,54004139,0.826750909,0.173249091,44148850,9025963,53174813,0.830258679,0.169741321,829326,0.015356712,-0.00350777,0.00350777
zr3644_6_R2_val_2_val_2,44084772,9919367,54004139,0.816322097,0.183677903,44113722,9061091,53174813,0.829598066,0.170401934,829326,0.015356712,-0.013275969,0.013275969
zr3644_7_R1_val_1_val_1,66932627,15594442,82527069,0.811038461,0.188961539,66272163,15300586,81572749,0.812430178,0.187569822,954320,0.011563721,-0.001391717,0.001391717
zr3644_7_R2_val_2_val_2,66710821,15816248,82527069,0.808350785,0.191649215,66738242,14834507,81572749,0.818143839,0.181856161,954320,0.011563721,-0.009793054,0.009793054
zr3644_8_R1_val_1_val_1,35707139,7211369,42918508,0.83197531,0.16802469,35680038,6656807,42336845,0.842765634,0.157234366,581663,0.013552731,-0.010790324,0.010790324
zr3644_8_R2_val_2_val_2,35776694,7141814,42918508,0.83359594,0.16640406,35802381,6534464,42336845,0.845655386,0.154344614,581663,0.013552731,-0.012059446,0.012059446
zr3644_9_R1_val_1_val_1,39513762,9209895,48723657,0.810976935,0.189023065,39549664,8024001,47573665,0.831335236,0.168664764,1149992,0.023602333,-0.020358301,0.020358301
zr3644_9_R2_val_2_val_2,39539510,9184147,48723657,0.811505384,0.188494616,39597274,7976391,47573665,0.832335999,0.167664001,1149992,0.023602333,-0.020830615,0.020830615
