Sample,UniqueReads,DuplicateReads,TotalReads,percUnique,percDuplicate
zr3644_10_R1_val_1_val_1_val_1,43066573,8836139,51902712,0.829755736,0.170244264
zr3644_10_R2_val_2_val_2_val_2,43212971,8689741,51902712,0.832576359,0.167423641
zr3644_11_R1_val_1_val_1_val_1,46354679,9708669,56063348,0.826826807,0.173173193
zr3644_11_R2_val_2_val_2_val_2,46526315,9537033,56063348,0.829888272,0.170111728
zr3644_12_R1_val_1_val_1_val_1,39435846,7413725,46849571,0.841754688,0.158245312
zr3644_12_R2_val_2_val_2_val_2,39521639,7327932,46849571,0.843585932,0.156414068
zr3644_13_R1_val_1_val_1_val_1,44060807,9242629,53303436,0.826603505,0.173396495
zr3644_13_R2_val_2_val_2_val_2,44185426,9118010,53303436,0.828941421,0.171058579
zr3644_14_R1_val_1_val_1_val_1,31090224,5250637,36340861,0.85551699,0.14448301
zr3644_14_R2_val_2_val_2_val_2,30786922,5553939,36340861,0.847170957,0.152829043
zr3644_15_R1_val_1_val_1_val_1,48225941,10209536,58435477,0.825285314,0.174714686
zr3644_15_R2_val_2_val_2_val_2,48287684,10147793,58435477,0.826341916,0.173658084
zr3644_16_R1_val_1_val_1_val_1,41886447,8500155,50386602,0.831301285,0.168698715
zr3644_16_R2_val_2_val_2_val_2,41888972,8497630,50386602,0.831351398,0.168648602
zr3644_17_R1_val_1_val_1_val_1,46321479,11108264,57429743,0.806576463,0.193423537
zr3644_17_R2_val_2_val_2_val_2,46403266,11026477,57429743,0.808000586,0.191999414
zr3644_18_R1_val_1_val_1_val_1,42432563,8510860,50943423,0.832935058,0.167064942
zr3644_18_R2_val_2_val_2_val_2,42586223,8357200,50943423,0.835951345,0.164048655
zr3644_19_R1_val_1_val_1_val_1,40849960,7791607,48641567,0.839815872,0.160184128
zr3644_19_R2_val_2_val_2_val_2,40989880,7651687,48641567,0.842692424,0.157307576
zr3644_1_R1_val_1_val_1_val_1,41532778,9460673,50993451,0.814472784,0.185527216
zr3644_1_R2_val_2_val_2_val_2,42045693,8947758,50993451,0.824531232,0.175468768
zr3644_20_R1_val_1_val_1_val_1,45275701,8114370,53390071,0.848017247,0.151982753
zr3644_20_R2_val_2_val_2_val_2,43917731,9472340,53390071,0.822582367,0.177417633
zr3644_21_R1_val_1_val_1_val_1,42278965,8178336,50457301,0.837915706,0.162084294
zr3644_21_R2_val_2_val_2_val_2,42043397,8413904,50457301,0.833247046,0.166752954
zr3644_22_R1_val_1_val_1_val_1,39116458,7903188,47019646,0.831917322,0.168082678
zr3644_22_R2_val_2_val_2_val_2,39132726,7886920,47019646,0.832263305,0.167736695
zr3644_23_R1_val_1_val_1_val_1,33543703,6358806,39902509,0.840641449,0.159358551
zr3644_23_R2_val_2_val_2_val_2,33651299,6251210,39902509,0.843337921,0.156662079
zr3644_24_R1_val_1_val_1_val_1,43192794,9051251,52244045,0.82675057,0.17324943
zr3644_24_R2_val_2_val_2_val_2,43145440,9098605,52244045,0.82584417,0.17415583
zr3644_2_R1_val_1_val_1_val_1,44686361,10339553,55025914,0.81209666,0.18790334
zr3644_2_R2_val_2_val_2_val_2,44885360,10140554,55025914,0.81571312,0.18428688
zr3644_3_R1_val_1_val_1_val_1,33073225,5840384,38913609,0.849914101,0.150085899
zr3644_3_R2_val_2_val_2_val_2,33177981,5735628,38913609,0.852606115,0.147393885
zr3644_4_R1_val_1_val_1_val_1,41437617,7868631,49306248,0.840413105,0.159586895
zr3644_4_R2_val_2_val_2_val_2,41119971,8186277,49306248,0.833970798,0.166029202
zr3644_5_R1_val_1_val_1_val_1,37540857,6542799,44083656,0.851582205,0.148417795
zr3644_5_R2_val_2_val_2_val_2,37071778,7011878,44083656,0.84094155,0.15905845
zr3644_6_R1_val_1_val_1_val_1,44148850,9025963,53174813,0.830258679,0.169741321
zr3644_6_R2_val_2_val_2_val_2,44113722,9061091,53174813,0.829598066,0.170401934
zr3644_7_R1_val_1_val_1_val_1,66272163,15300586,81572749,0.812430178,0.187569822
zr3644_7_R2_val_2_val_2_val_2,66738242,14834507,81572749,0.818143839,0.181856161
zr3644_8_R1_val_1_val_1_val_1,35680038,6656807,42336845,0.842765634,0.157234366
zr3644_8_R2_val_2_val_2_val_2,35802381,6534464,42336845,0.845655386,0.154344614
zr3644_9_R1_val_1_val_1_val_1,39549664,8024001,47573665,0.831335236,0.168664764
zr3644_9_R2_val_2_val_2_val_2,39597274,7976391,47573665,0.832335999,0.167664001
