Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
zr3644_10_R1_val_1_val_1_val_1	zr3644_10_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51902712.0	0.0	20-115	17.0	82.97557271412977	104.52899077797707	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_10_R2_val_2_val_2_val_2	zr3644_10_R2_val_2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51902712.0	0.0	20-115	17.0	83.25763504597668	104.46236477970554	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_11_R1_val_1_val_1_val_1	zr3644_11_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56063348.0	0.0	20-115	17.0	82.6826798324695	104.47248583869803	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_11_R2_val_2_val_2_val_2	zr3644_11_R2_val_2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56063348.0	0.0	20-115	17.0	82.98882686503275	104.41705989446082	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_12_R1_val_1_val_1_val_1	zr3644_12_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46849571.0	0.0	20-115	17.0	84.17546724251865	104.6547968176699	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_12_R2_val_2_val_2_val_2	zr3644_12_R2_val_2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46849571.0	0.0	20-115	17.0	84.35859236485818	104.58213796664221	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_13_R1_val_1_val_1_val_1	zr3644_13_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53303436.0	0.0	20-115	17.0	82.66034951188448	105.44743303227206	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_13_R2_val_2_val_2_val_2	zr3644_13_R2_val_2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53303436.0	0.0	20-115	17.0	82.89414026551776	105.39496797167072	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_14_R1_val_1_val_1_val_1	zr3644_14_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36340861.0	0.0	20-115	17.0	85.55169766523622	104.64053253994174	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_14_R2_val_2_val_2_val_2	zr3644_14_R2_val_2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36340861.0	0.0	20-115	17.0	84.71709521691803	104.72813156518224	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_15_R1_val_1_val_1_val_1	zr3644_15_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58435477.0	0.0	20-115	17.0	82.52853042742109	104.96851602665963	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_15_R2_val_2_val_2_val_2	zr3644_15_R2_val_2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58435477.0	0.0	20-115	17.0	82.63419145457762	104.95355429373838	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_16_R1_val_1_val_1_val_1	zr3644_16_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50386602.0	0.0	20-115	17.0	83.13012783499836	103.02403857279361	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_16_R2_val_2_val_2_val_2	zr3644_16_R2_val_2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50386602.0	0.0	20-115	17.0	83.13513905663929	103.01626142600368	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_17_R1_val_1_val_1_val_1	zr3644_17_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57429743.0	0.0	20-115	17.0	80.6576447558417	104.20377092754882	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_17_R2_val_2_val_2_val_2	zr3644_17_R2_val_2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57429743.0	0.0	20-115	17.0	80.8000579488105	104.16017943872743	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_18_R1_val_1_val_1_val_1	zr3644_18_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50943423.0	0.0	20-115	17.0	83.29350424825563	104.25790603038197	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_18_R2_val_2_val_2_val_2	zr3644_18_R2_val_2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50943423.0	0.0	20-115	17.0	83.59513416023809	104.21348577224582	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_19_R1_val_1_val_1_val_1	zr3644_19_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48641567.0	0.0	20-115	17.0	83.98158543681595	104.48807239289803	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_19_R2_val_2_val_2_val_2	zr3644_19_R2_val_2_val_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48641567.0	0.0	20-115	17.0	84.26924191241942	104.42173925030006	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
zr3644_1_R1_val_1_val_1_val_1	zr3644_1_R1_val_1_val_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50993451.0	0.0	20-115	17.0	81.44727668416857	103.9338030289419	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
