Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
zr3644_10_R1_val_1_val_1	1.0556115307252254					
zr3644_10_R1_val_1_val_1_val_1		17.02442728587023	17.0	104.52899077797707	9.090909090909092	51902712.0
zr3644_10_R2_val_2_val_2	1.5386207642723568					
zr3644_10_R2_val_2_val_2_val_2		16.742364954023316	17.0	104.46236477970554	9.090909090909092	51902712.0
zr3644_11_R1_val_1_val_1	1.057674767701508					
zr3644_11_R1_val_1_val_1_val_1		17.317320167530497	17.0	104.47248583869803	9.090909090909092	56063348.0
zr3644_11_R2_val_2_val_2	1.5321372921467529					
zr3644_11_R2_val_2_val_2_val_2		17.01117313496725	17.0	104.41705989446082	9.090909090909092	56063348.0
zr3644_12_R1_val_1_val_1	1.3440296324221956					
zr3644_12_R1_val_1_val_1_val_1		15.82453275748135	17.0	104.6547968176699	9.090909090909092	46849571.0
zr3644_12_R2_val_2_val_2	1.9925867515148905					
zr3644_12_R2_val_2_val_2_val_2		15.641407635141817	17.0	104.58213796664221	9.090909090909092	46849571.0
zr3644_13_R1_val_1_val_1	0.912539297307325					
zr3644_13_R1_val_1_val_1_val_1		17.339650488115524	17.0	105.44743303227206	9.090909090909092	53303436.0
zr3644_13_R2_val_2_val_2	1.3276162118561146					
zr3644_13_R2_val_2_val_2_val_2		17.105859734482237	17.0	105.39496797167072	9.090909090909092	53303436.0
zr3644_14_R1_val_1_val_1	1.1638071182908025					
zr3644_14_R1_val_1_val_1_val_1		14.448302334763781	17.0	104.64053253994174	9.090909090909092	36340861.0
zr3644_14_R2_val_2_val_2	1.66677310421799					
zr3644_14_R2_val_2_val_2_val_2		15.282904783081975	17.0	104.72813156518224	9.090909090909092	36340861.0
zr3644_15_R1_val_1_val_1	0.9644331706927731					
zr3644_15_R1_val_1_val_1_val_1		17.47146957257891	17.0	104.96851602665963	9.090909090909092	58435477.0
zr3644_15_R2_val_2_val_2	1.393754702139762					
zr3644_15_R2_val_2_val_2_val_2		17.365808545422382	17.0	104.95355429373838	9.090909090909092	58435477.0
zr3644_16_R1_val_1_val_1	1.8403859019858901					
zr3644_16_R1_val_1_val_1_val_1		16.869872165001638	17.0	103.02403857279361	9.090909090909092	50386602.0
zr3644_16_R2_val_2_val_2	2.7330778475338375					
zr3644_16_R2_val_2_val_2_val_2		16.86486094336071	17.0	103.01626142600368	9.090909090909092	50386602.0
zr3644_17_R1_val_1_val_1	1.1862923676958455					
zr3644_17_R1_val_1_val_1_val_1		19.3423552441583	17.0	104.20377092754882	9.090909090909092	57429743.0
zr3644_17_R2_val_2_val_2	1.750421125071832					
zr3644_17_R2_val_2_val_2_val_2		19.199942051189495	17.0	104.16017943872743	9.090909090909092	57429743.0
zr3644_18_R1_val_1_val_1	1.1830781608396295					
zr3644_18_R1_val_1_val_1_val_1		16.70649575174437	17.0	104.25790603038197	9.090909090909092	50943423.0
zr3644_18_R2_val_2_val_2	1.7321317414664215					
zr3644_18_R2_val_2_val_2_val_2		16.40486583976191	17.0	104.21348577224582	9.090909090909092	50943423.0
zr3644_19_R1_val_1_val_1	1.1546608734393269					
zr3644_19_R1_val_1_val_1_val_1		16.018414563184052	17.0	104.48807239289803	9.090909090909092	48641567.0
zr3644_19_R2_val_2_val_2	1.699766497066065					
zr3644_19_R2_val_2_val_2_val_2		15.730758087580583	17.0	104.42173925030006	9.090909090909092	48641567.0
zr3644_1_R1_val_1_val_1	1.4293962995414764					
zr3644_1_R1_val_1_val_1_val_1		18.55272331583143	17.0	103.9338030289419	9.090909090909092	50993451.0
zr3644_1_R2_val_2_val_2	2.1324004850891045					
zr3644_1_R2_val_2_val_2_val_2		17.546878612206058	17.0	103.82343203247805	9.090909090909092	50993451.0
zr3644_20_R1_val_1_val_1	1.073788366740081					
