Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
zr3644_20_R1_val_1_val_1_val_1		15.198275482592123	17.0	105.19598698417164	9.090909090909092	53390071.0
zr3644_20_R2_val_2_val_2	1.4906030955339367					
zr3644_20_R2_val_2_val_2_val_2		17.741764453885565	17.0	105.40122001336167	9.090909090909092	53390071.0
zr3644_21_R1_val_1_val_1	1.044941505882901					
zr3644_21_R1_val_1_val_1_val_1		16.208429939649562	17.0	105.05655128085428	9.090909090909092	50457301.0
zr3644_21_R2_val_2_val_2	1.4946219252638215					
zr3644_21_R2_val_2_val_2_val_2		16.675296316941186	17.0	105.08329460586883	9.090909090909092	50457301.0
zr3644_22_R1_val_1_val_1	1.170539739911261					
zr3644_22_R1_val_1_val_1_val_1		16.808269782155776	17.0	104.7181585331374	9.090909090909092	47019646.0
zr3644_22_R2_val_2_val_2	1.721951591049578					
zr3644_22_R2_val_2_val_2_val_2		16.77367140806132	17.0	104.645249902562	9.090909090909092	47019646.0
zr3644_23_R1_val_1_val_1	1.2379338950409235					
zr3644_23_R1_val_1_val_1_val_1		15.935855606125244	17.0	104.15954756128242	9.090909090909092	39902509.0
zr3644_23_R2_val_2_val_2	1.8229470002591766					
zr3644_23_R2_val_2_val_2_val_2		15.666208203404622	17.0	104.10375046842293	9.090909090909092	39902509.0
zr3644_24_R1_val_1_val_1	1.038048679322193					
zr3644_24_R1_val_1_val_1_val_1		17.324944832428443	17.0	104.8784118075084	9.090909090909092	52244045.0
zr3644_24_R2_val_2_val_2	1.5014405681586909					
zr3644_24_R2_val_2_val_2_val_2		17.415584260600056	17.0	104.85639877233855	9.090909090909092	52244045.0
zr3644_2_R1_val_1_val_1	0.9232938984413592					
zr3644_2_R1_val_1_val_1_val_1		18.79033551658354	17.0	105.96943956260317	9.090909090909092	55025914.0
zr3644_2_R2_val_2_val_2	1.3486947691680788					
zr3644_2_R2_val_2_val_2_val_2		18.428689343438876	17.0	105.86225079332621	9.090909090909092	55025914.0
zr3644_3_R1_val_1_val_1	1.079992557106605					
zr3644_3_R1_val_1_val_1_val_1		15.008590559937858	17.0	105.01984799199684	9.090909090909092	38913609.0
zr3644_3_R2_val_2_val_2	1.5762821371056686					
zr3644_3_R2_val_2_val_2_val_2		14.739388799223164	17.0	104.97714452545381	9.090909090909092	38913609.0
zr3644_4_R1_val_1_val_1	1.1351772636499582					
zr3644_4_R1_val_1_val_1_val_1		15.958689854410068	17.0	104.87624797571294	9.090909090909092	49306248.0
zr3644_4_R2_val_2_val_2	1.6379954716418663					
zr3644_4_R2_val_2_val_2_val_2		16.602921740505522	17.0	104.88818293373286	9.090909090909092	49306248.0
zr3644_5_R1_val_1_val_1	1.1102151478218003					
zr3644_5_R1_val_1_val_1_val_1		14.841780151779162	17.0	105.1050859302595	9.090909090909092	44083656.0
zr3644_5_R2_val_2_val_2	1.5845102752350935					
zr3644_5_R2_val_2_val_2_val_2		15.905846569036939	17.0	105.20079223919177	9.090909090909092	44083656.0
zr3644_6_R1_val_1_val_1	1.2529069661158012					
zr3644_6_R1_val_1_val_1_val_1		16.974132829173	17.0	104.88045868633333	9.090909090909092	53174813.0
zr3644_6_R2_val_2_val_2	1.8339685586268102					
zr3644_6_R2_val_2_val_2_val_2		17.04019396032534	17.0	104.86340008379531	9.090909090909092	53174813.0
zr3644_7_R1_val_1_val_1	0.9725304140291533					
zr3644_7_R1_val_1_val_1_val_1		18.756982711161726	17.0	105.25951925440198	9.090909090909092	81572749.0
zr3644_7_R2_val_2_val_2	1.4252794476715127					
zr3644_7_R2_val_2_val_2_val_2		18.18561667131401	17.0	105.16669928581173	9.090909090909092	81572749.0
zr3644_8_R1_val_1_val_1	1.1277419013997854					
zr3644_8_R1_val_1_val_1_val_1		15.723437303409412	17.0	104.60729135579186	9.090909090909092	42336845.0
zr3644_8_R2_val_2_val_2	1.651023142763048					
zr3644_8_R2_val_2_val_2_val_2		15.434461968992665	17.0	104.53774824269499	9.090909090909092	42336845.0
zr3644_9_R1_val_1_val_1	1.8778929223451788					
zr3644_9_R1_val_1_val_1_val_1		16.866477142251085	17.0	102.30806379958324	9.090909090909092	47573665.0
zr3644_9_R2_val_2_val_2	2.799183934245848					
zr3644_9_R2_val_2_val_2_val_2		16.76640025379902	17.0	102.25585306492573	9.090909090909092	47573665.0
