Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
zr3644_10_R1_val_1_val_1	52562481	5380701	5537936665	1931281	5479477567	1.0556115307252254
zr3644_10_R2_val_2_val_2	52562481	4989069	5534104698	2667788	5448955814	1.5386207642723568
zr3644_11_R1_val_1_val_1	56774259	5732334	5978475419	2146451	5915242593	1.057674767701508
zr3644_11_R2_val_2_val_2	56774259	5376084	5974775072	2827983	5883233315	1.5321372921467529
zr3644_12_R1_val_1_val_1	47649823	4772407	5027464006	1642861	4959893400	1.3440296324221956
zr3644_12_R2_val_2_val_2	47649823	4531436	5024099499	2327079	4923989958	1.9925867515148905
zr3644_13_R1_val_1_val_1	53883255	5317560	5724812088	2019136	5672570928	0.912539297307325
zr3644_13_R2_val_2_val_2	53883255	4945898	5721640887	2829016	5645679455	1.3276162118561146
zr3644_14_R1_val_1_val_1	36852584	3871772	3887759431	2061809	3842513410	1.1638071182908025
zr3644_14_R2_val_2_val_2	36852584	3529798	3889651677	1591963	3824820009	1.66677310421799
zr3644_15_R1_val_1_val_1	59105662	5883911	6252033716	2264103	6191737029	0.9644331706927731
zr3644_15_R2_val_2_val_2	59105662	5526578	6250583827	2830102	6163466021	1.393754702139762
zr3644_16_R1_val_1_val_1	51584355	5791162	5364699213	2314216	5265968045	1.8403859019858901
zr3644_16_R2_val_2_val_2	51584355	5425476	5363477485	2579071	5216889470	2.7330778475338375
zr3644_17_R1_val_1_val_1	58274646	5997555	6121665955	2079557	6049045099	1.1862923676958455
zr3644_17_R2_val_2_val_2	58274646	5699368	6118928609	2771814	6011821590	1.750421125071832
zr3644_18_R1_val_1_val_1	51684377	5334346	5432148452	1909821	5367881890	1.1830781608396295
zr3644_18_R2_val_2_val_2	51684377	4995894	5429561606	2494613	5335514446	1.7321317414664215
zr3644_19_R1_val_1_val_1	49333920	5033638	5196153986	1917305	5136156029	1.1546608734393269
zr3644_19_R2_val_2_val_2	49333920	4796171	5192834966	2511560	5104568897	1.699766497066065
zr3644_1_R1_val_1_val_1	51916287	5525580	5441948956	1820838	5364161939	1.4293962995414764
zr3644_1_R2_val_2_val_2	51916287	5160649	5436783419	3184149	5320849423	2.1324004850891045
zr3644_20_R1_val_1_val_1	54059234	5748185	5733128604	4382457	5671566936	1.073788366740081
zr3644_20_R2_val_2_val_2	54059234	5197879	5740716711	2246683	5655145410	1.4906030955339367
zr3644_21_R1_val_1_val_1	51084771	5204728	5409366714	2493851	5352841996	1.044941505882901
zr3644_21_R2_val_2_val_2	51084771	4778825	5409409673	2498318	5328559450	1.4946219252638215
zr3644_22_R1_val_1_val_1	47698628	4908078	5034918251	1731407	4975982532	1.170539739911261
zr3644_22_R2_val_2_val_2	47698628	4666293	5031539124	2384978	4944898456	1.721951591049578
zr3644_23_R1_val_1_val_1	40515907	4185637	4254719433	1474777	4202048819	1.2379338950409235
zr3644_23_R2_val_2_val_2	40515907	3950552	4252298832	1994244	4174781678	1.8229470002591766
zr3644_24_R1_val_1_val_1	52894890	5345542	5591025465	2078621	5532987899	1.038048679322193
zr3644_24_R2_val_2_val_2	52894890	4990032	5589271116	2547797	5505351532	1.5014405681586909
zr3644_2_R1_val_1_val_1	55636387	5493428	5939768268	2052719	5884926750	0.9232938984413592
zr3644_2_R2_val_2_val_2	55636387	5105352	5933849217	3009323	5853819703	1.3486947691680788
zr3644_3_R1_val_1_val_1	39424942	3969102	4172882554	1505900	4127815733	1.079992557106605
zr3644_3_R2_val_2_val_2	39424942	3790019	4171077084	1996418	4105329141	1.5762821371056686
zr3644_4_R1_val_1_val_1	49987655	5107946	5284463398	2504037	5224475371	1.1351772636499582
zr3644_4_R2_val_2_val_2	49987655	4731085	5283854168	2218382	5197304876	1.6379954716418663
zr3644_5_R1_val_1_val_1	44671516	4652727	4732991538	2611057	4680445149	1.1102151478218003
zr3644_5_R2_val_2_val_2	44671516	4275485	4735632086	2019882	4660595509	1.5845102752350935
zr3644_6_R1_val_1_val_1	54004139	5593686	5710082467	2138241	5638540446	1.2529069661158012
zr3644_6_R2_val_2_val_2	54004139	5249133	5708503535	2593820	5603811375	1.8339685586268102
zr3644_7_R1_val_1_val_1	82527069	8201704	8753479148	3061684	8668348901	0.9725304140291533
zr3644_7_R2_val_2_val_2	82527069	7696946	8745942082	4556505	8621287967	1.4252794476715127
zr3644_8_R1_val_1_val_1	42918508	4384318	4525581956	1647187	4474545072	1.1277419013997854
zr3644_8_R2_val_2_val_2	42918508	4143181	4522542178	2342546	4447873960	1.651023142763048
zr3644_9_R1_val_1_val_1	48723657	5495904	5033175847	1723200	4938658194	1.8778929223451788
zr3644_9_R2_val_2_val_2	48723657	5209964	5030415232	2391524	4889604657	2.799183934245848
